CD4001BE
# CD4007UBE
# CD4069UBE
# CD4016BE
# SN74LS00N
# 74LS01
# CA3086N
# LM13700N
# ECG257
# TIP48
# 2N2222
# 2N3904
# BC547
# NTE123A
# 2N3906
# S9012
# 2N3799
# J113
# S8050/D331
